# Propagator = cross power / initial power /(Gf*b) 
# Gf = 0.61207 
# b=1.4 
# 
# k 	 	 	 Propagator
2.496911307575502142e-02 1.023728228737672552e+00
7.511488191275515758e-02 9.764902389595677690e-01
1.250617724414885834e-01 9.359275893432930093e-01
1.749940262988358974e-01 8.385354486267377894e-01
2.249944885321368826e-01 7.797322541731872558e-01
2.750076023327520103e-01 6.629028043297531259e-01
3.250235440465741865e-01 5.519763906044334867e-01
3.750160075808058324e-01 4.546691501547302505e-01
4.250027293644291215e-01 3.634278880518284072e-01
4.750191153551628354e-01 2.662454019174574915e-01
5.250217795935544496e-01 1.961815937220507955e-01
5.750094073548897011e-01 1.419135340614937901e-01
6.250087832753108419e-01 9.678056257504755178e-02
6.750021830340796614e-01 6.216241023832392437e-02
7.250150824188283938e-01 3.554303250120710578e-02
7.750073191119725147e-01 1.209255485569495255e-02
8.250183158509830639e-01 3.194108756627620990e-03
8.749966797961296061e-01 6.069458084413160287e-03
9.250033340952906746e-01 9.365728796487450894e-03
9.750042131279590407e-01 -5.133614606908101785e-03
1.025008014746068286e+00 1.634648255075683712e-03
1.075008018020145339e+00 -3.321275867076094786e-03
1.125001123732605190e+00 7.554287941062079632e-03
1.174998930206486270e+00 -5.700806801993454388e-03
1.225012900468753774e+00 1.319805687516586914e-03
1.275010236289743748e+00 -6.352577084983108968e-03
1.325005476058776166e+00 -1.546331967553404678e-02
1.375000895218908559e+00 1.916899789990924143e-03
1.425002735568685175e+00 -8.080337958077199109e-03
1.475003902092820285e+00 6.527510966157185762e-03
1.525006020193615308e+00 -8.911056602612382402e-03
1.574998330479947750e+00 -1.105896879401551368e-02
